ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-12-09,2056.5241404311228,1637.540789143145,2476.974986315736,2056.5241404311228,2056.5241404311228,10.242979031171885,10.242979031171885,10.242979031171885,10.242979031171885,10.242979031171885,10.242979031171885,0.0,0.0,0.0,2066.7671194622944
2023-12-10,2057.066557162181,1791.2296409954786,2640.0344456261364,2057.066557162181,2057.066557162181,168.27080175505145,168.27080175505145,168.27080175505145,168.27080175505145,168.27080175505145,168.27080175505145,0.0,0.0,0.0,2225.3373589172325
2023-12-11,2057.6089738932396,1391.237815602025,2305.975123234331,2057.6089738932396,2057.6089738932396,-190.15030759378854,-190.15030759378854,-190.15030759378854,-190.15030759378854,-190.15030759378854,-190.15030759378854,0.0,0.0,0.0,1867.4586662994511
2023-12-12,2058.151390624298,1701.7973435430106,2553.355881826451,2058.151390624298,2058.151390624298,76.49658472204926,76.49658472204926,76.49658472204926,76.49658472204926,76.49658472204926,76.49658472204926,0.0,0.0,0.0,2134.6479753463473
2023-12-13,2058.6938073553565,1698.7105675571845,2583.753947975212,2058.6938073553565,2058.6938073553565,84.89416100541577,84.89416100541577,84.89416100541577,84.89416100541577,84.89416100541577,84.89416100541577,0.0,0.0,0.0,2143.5879683607723
2023-12-14,2059.2355731566627,1542.933039843964,2425.715651859451,2059.2355731566627,2059.2355731566627,-79.75898537657764,-79.75898537657764,-79.75898537657764,-79.75898537657764,-79.75898537657764,-79.75898537657764,0.0,0.0,0.0,1979.476587780085
2023-12-15,2059.7773389579693,1566.0632646654744,2425.9063670003943,2059.7773389579693,2059.7773389579693,-69.99523354391188,-69.99523354391188,-69.99523354391188,-69.99523354391188,-69.99523354391188,-69.99523354391188,0.0,0.0,0.0,1989.7821054140575
2023-12-16,2060.3191047592754,1621.17616535254,2476.9919251407873,2060.3191047592754,2060.3191047592754,10.242979031208405,10.242979031208405,10.242979031208405,10.242979031208405,10.242979031208405,10.242979031208405,0.0,0.0,0.0,2070.562083790484
2023-12-17,2060.8608705605816,1802.976585103984,2672.7874174156486,2060.8608705605816,2060.8608705605816,168.27080175568142,168.27080175568142,168.27080175568142,168.27080175568142,168.27080175568142,168.27080175568142,0.0,0.0,0.0,2229.131672316263
2023-12-18,2061.402566766887,1473.304071716933,2337.1567602088503,2061.402566766887,2061.402566766887,-190.15030759355744,-190.15030759355744,-190.15030759355744,-190.15030759355744,-190.15030759355744,-190.15030759355744,0.0,0.0,0.0,1871.2522591733295
2023-12-19,2061.9442629731925,1702.304983158629,2515.4059178299017,2061.9442629731925,2061.9442629731925,76.49658472160334,76.49658472160334,76.49658472160334,76.49658472160334,76.49658472160334,76.49658472160334,0.0,0.0,0.0,2138.440847694796
2023-12-20,2062.485959179498,1696.1985342567361,2584.6589740596987,2062.485959179498,2062.485959179498,84.89416100486429,84.89416100486429,84.89416100486429,84.89416100486429,84.89416100486429,84.89416100486429,0.0,0.0,0.0,2147.380120184362
2023-12-21,2063.0276553858034,1541.6302265730774,2415.7888310596,2063.0276553858034,2063.0276553858034,-79.75898537689335,-79.75898537689335,-79.75898537689335,-79.75898537689335,-79.75898537689335,-79.75898537689335,0.0,0.0,0.0,1983.26867000891
2023-12-22,2063.569351592109,1524.2285693216318,2445.2057517032144,2063.569351592109,2063.569351592109,-69.99523354426628,-69.99523354426628,-69.99523354426628,-69.99523354426628,-69.99523354426628,-69.99523354426628,0.0,0.0,0.0,1993.5741180478426
2023-12-23,2063.867804402626,1617.0830033839914,2506.3956400048223,2063.867804402626,2063.867804402626,10.242979031622196,10.242979031622196,10.242979031622196,10.242979031622196,10.242979031622196,10.242979031622196,0.0,0.0,0.0,2074.1107834342483
2023-12-24,2064.1662572131436,1797.6386064502612,2662.021659871446,2064.1662572131436,2064.1662572131436,168.27080175556532,168.27080175556532,168.27080175556532,168.27080175556532,168.27080175556532,168.27080175556532,0.0,0.0,0.0,2232.4370589687087
2023-12-25,2064.464710023661,1476.3768393471544,2329.3455589540927,2064.464710023661,2064.464710023661,-190.15030759377407,-190.15030759377407,-190.15030759377407,-190.15030759377407,-190.15030759377407,-190.15030759377407,0.0,0.0,0.0,1874.3144024298872
2023-12-26,2064.7631628341783,1705.3719181645715,2588.058950944683,2064.7631628341783,2064.7631628341783,76.49658472213461,76.49658472213461,76.49658472213461,76.49658472213461,76.49658472213461,76.49658472213461,0.0,0.0,0.0,2141.259747556313
2023-12-27,2065.061615644696,1696.1478989156808,2610.5263704010595,2065.061615644696,2065.061615644696,84.89416100496929,84.89416100496929,84.89416100496929,84.89416100496929,84.89416100496929,84.89416100496929,0.0,0.0,0.0,2149.955776649665
2023-12-28,2064.7403133886173,1549.6267378640994,2403.3317652203964,2064.7403133886173,2064.7403133886173,-79.75898537634095,-79.75898537634095,-79.75898537634095,-79.75898537634095,-79.75898537634095,-79.75898537634095,0.0,0.0,0.0,1984.9813280122764
2023-12-29,2064.419011132539,1543.5853988274334,2459.1365882398336,2064.419011132539,2064.419011132539,-69.99523354343121,-69.99523354343121,-69.99523354343121,-69.99523354343121,-69.99523354343121,-69.99523354343121,0.0,0.0,0.0,1994.4237775891077
2023-12-30,2064.09770887646,1631.265848151289,2496.4386781258545,2064.09770887646,2064.09770887646,10.242979031281413,10.242979031281413,10.242979031281413,10.242979031281413,10.242979031281413,10.242979031281413,0.0,0.0,0.0,2074.340687907741
2023-12-31,2063.7764066203813,1783.3393950179131,2683.5747718981775,2063.7764066203813,2063.7764066203813,168.27080175536412,168.27080175536412,168.27080175536412,168.27080175536412,168.27080175536412,168.27080175536412,0.0,0.0,0.0,2232.0472083757454
2024-01-01,2063.4551043643023,1442.40826454776,2302.513397894433,2063.4551043643023,2063.4551043643023,-190.15030759376685,-190.15030759376685,-190.15030759376685,-190.15030759376685,-190.15030759376685,-190.15030759376685,0.0,0.0,0.0,1873.3047967705354
2024-01-02,2062.1254941247144,1710.7858264254521,2619.888399893787,2062.1254941247144,2062.1254941247144,76.49658472132974,76.49658472132974,76.49658472132974,76.49658472132974,76.49658472132974,76.49658472132974,0.0,0.0,0.0,2138.622078846044
2024-01-03,2060.7958838851255,1713.4732608779022,2596.089475550109,2060.7958838851255,2060.7958838851255,84.8941610044178,84.8941610044178,84.8941610044178,84.8941610044178,84.8941610044178,84.8941610044178,0.0,0.0,0.0,2145.690044889543
2024-01-04,2059.466273645537,1566.3671339215796,2427.9385742499344,2059.466273645537,2059.466273645537,-79.75898537665664,-79.75898537665664,-79.75898537665664,-79.75898537665664,-79.75898537665664,-79.75898537665664,0.0,0.0,0.0,1979.7072882688803
2024-01-05,2058.136663405948,1560.4265143040693,2432.4522944712876,2058.136663405948,2058.136663405948,-69.9952335431741,-69.9952335431741,-69.9952335431741,-69.9952335431741,-69.9952335431741,-69.9952335431741,0.0,0.0,0.0,1988.1414298627742
2024-01-06,2056.8070531663598,1654.4207800328277,2510.6162311651156,2056.8070531663598,2056.8070531663598,10.242979031695215,10.242979031695215,10.242979031695215,10.242979031695215,10.242979031695215,10.242979031695215,0.0,0.0,0.0,2067.050032198055
2024-01-07,2054.2895387721483,1792.024412865532,2642.8405969021237,2054.2895387721483,2054.2895387721483,168.27080175524804,168.27080175524804,168.27080175524804,168.27080175524804,168.27080175524804,168.27080175524804,0.0,0.0,0.0,2222.5603405273964
2024-01-08,2051.772024377937,1425.7195974142392,2283.9109438979467,2051.772024377937,2051.772024377937,-190.1503075935188,-190.1503075935188,-190.1503075935188,-190.1503075935188,-190.1503075935188,-190.1503075935188,0.0,0.0,0.0,1861.6217167844184
